AD_GROUP_ID,CAMPAIGN_ID,CUSTOMER_ID,AD_GROUP_AD_ROTATION_MODE,AD_GROUP_CPC_BID_MICROS,AD_GROUP_CPM_BID_MICROS,AD_GROUP_CPV_BID_MICROS,AD_GROUP_DISPLAY_CUSTOM_BID_DIMENSION,AD_GROUP_EFFECTIVE_TARGET_CPA_MICROS,AD_GROUP_EFFECTIVE_TARGET_CPA_SOURCE,AD_GROUP_EFFECTIVE_TARGET_ROAS,AD_GROUP_EFFECTIVE_TARGET_ROAS_SOURCE,AD_GROUP_NAME,AD_GROUP_STATUS,AD_GROUP_TRACKING_URL_TEMPLATE,AD_GROUP_TYPE,AD_GROUP_URL_CUSTOM_PARAMETERS,CAMPAIGN_BIDDING_STRATEGY,CAMPAIGN_BIDDING_STRATEGY_TYPE,CAMPAIGN_MANUAL_CPC_ENHANCED_CPC_ENABLED,CAMPAIGN_PERCENT_CPC_ENHANCED_CPC_ENABLED
16296344563,236333443,8005392514,UNSPECIFIED,10000,300000,0,UNSPECIFIED,0,UNSPECIFIED,0.0,UNSPECIFIED,Ad Group #1,PAUSED,,SEARCH_STANDARD,[],,TARGET_SPEND,false,false
16929074203,246333523,8005392514,UNSPECIFIED,10000,300000,0,UNSPECIFIED,0,UNSPECIFIED,0.0,UNSPECIFIED,GRC Cloud - General,PAUSED,,SEARCH_STANDARD,[],,MANUAL_CPC,false,false
16929074323,246333523,8005392514,UNSPECIFIED,10000,300000,0,UNSPECIFIED,0,UNSPECIFIED,0.0,UNSPECIFIED,Internal Control General,PAUSED,,SEARCH_STANDARD,[],,MANUAL_CPC,false,false
16929088963,246333523,8005392514,UNSPECIFIED,10000,300000,0,UNSPECIFIED,0,UNSPECIFIED,0.0,UNSPECIFIED,SOX Compliance,PAUSED,,SEARCH_STANDARD,[],,MANUAL_CPC,false,false
16929089083,246333523,8005392514,UNSPECIFIED,10000,300000,0,UNSPECIFIED,0,UNSPECIFIED,0.0,UNSPECIFIED,OMB Circular/PIC,PAUSED,,SEARCH_STANDARD,[],,MANUAL_CPC,false,false
16929090043,246333523,8005392514,UNSPECIFIED,10000,300000,0,UNSPECIFIED,0,UNSPECIFIED,0.0,UNSPECIFIED,C-SOX/Bill 198,PAUSED,,SEARCH_STANDARD,[],,MANUAL_CPC,false,false
16929090163,246333523,8005392514,UNSPECIFIED,10000,300000,0,UNSPECIFIED,0,UNSPECIFIED,0.0,UNSPECIFIED,Compliance Management General,PAUSED,,SEARCH_STANDARD,[],,MANUAL_CPC,false,false
16929090283,246333523,8005392514,UNSPECIFIED,10000,300000,0,UNSPECIFIED,0,UNSPECIFIED,0.0,UNSPECIFIED,Legislative Compliance,PAUSED,,SEARCH_STANDARD,[],,MANUAL_CPC,false,false
16929091243,246333523,8005392514,UNSPECIFIED,10000,300000,0,UNSPECIFIED,0,UNSPECIFIED,0.0,UNSPECIFIED,Legislative Compliance FI,PAUSED,,SEARCH_STANDARD,[],,MANUAL_CPC,false,false
16929091483,246333523,8005392514,UNSPECIFIED,10000,300000,0,UNSPECIFIED,0,UNSPECIFIED,0.0,UNSPECIFIED,NERC Compliance,PAUSED,,SEARCH_STANDARD,[],,MANUAL_CPC,false,false
